Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axis_raw_unpack_0/U0/pixel_d[9:0],u_ila_1_axi_vdma_0_M_AXI_S2MM_AWBURST[0:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_1[1:1],i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_BRESP[1:0],i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_WDATA[31:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWCACHE_1[0:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWCACHE[0:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_2[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_3[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_4[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_5[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_6[1:1],i_system_wrapper/system_i/axis_raw_unpack_0_M_AXIS_TDATA[9:0],u_ila_1_axi_vdma_0_s2mm_frame_ptr_out[5:0],u_ila_1_axi_vdma_0_axi_vdma_tstvec_1[3:2],u_ila_1_axi_vdma_0_axi_vdma_tstvec_2[5:5],u_ila_1_axi_vdma_0_axi_vdma_tstvec_3[7:7],u_ila_0_axi_vdma_0_axi_vdma_tstvec_1[15:12],u_ila_1_axi_vdma_0_axi_vdma_tstvec_4[17:17],u_ila_1_axi_vdma_0_axi_vdma_tstvec_5[19:19],u_ila_1_axi_vdma_0_axi_vdma_tstvec_6[29:29],u_ila_1_axi_vdma_0_axi_vdma_tstvec_7[32:31],u_ila_0_axi_vdma_0_axi_vdma_tstvec[15:12],u_ila_1_axi_vdma_0_axi_vdma_tstvec[53:53],i_system_wrapper/system_i/axis_raw_demosaic_0_M_AXIS_TDATA[23:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_7[1:1],u_ila_1_axi_vdma_0_M_AXI_S2MM_AWSIZE[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_8[1:1],i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TDATA[31:0],i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_WSTRB[3:0],i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_AWADDR[31:0],u_ila_1_axi_vdma_0_M_AXI_S2MM_AWLEN[4:0],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_9[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST_10[1:1],u_ila_0_axi_vdma_0_M_AXI_S2MM_AWBURST[1:1],i_system_wrapper/system_i/axis_raw_unpack_0/U0/pixel_c[9:0],cam1_data_lp_n_IBUF[3:0],cam1_data_lp_p_IBUF[3:0],i_system_wrapper/system_i/axis_raw_unpack_0/U0/pixel_b[9:0],u_ila_1_axi_vdma_0_M_AXI_S2MM_AWREADY,i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_AWVALID,i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_BREADY,i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_BVALID,u_ila_1_axi_vdma_0_M_AXI_S2MM_WLAST,i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_WREADY,i_system_wrapper/system_i/axi_vdma_0_M_AXI_S2MM_WVALID,u_ila_1_axi_vdma_0_s2mm_buffer_almost_full,u_ila_1_axi_vdma_0_s2mm_buffer_full,u_ila_1_axi_vdma_0_s2mm_fsync_out,i_system_wrapper/system_i/axi_vdma_0_s2mm_introut,u_ila_1_axi_vdma_0_s2mm_prmry_reset_out_n,u_ila_1_axi_vdma_0_s2mm_prmtr_update,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TLAST,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TREADY,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TUSER,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TVALID,i_system_wrapper/system_i/axis_raw_demosaic_0_M_AXIS_TLAST,i_system_wrapper/system_i/axis_raw_demosaic_0_M_AXIS_TREADY,i_system_wrapper/system_i/axis_raw_demosaic_0_M_AXIS_TUSER,i_system_wrapper/system_i/axis_raw_demosaic_0_M_AXIS_TVALID,i_system_wrapper/system_i/axis_raw_unpack_0_M_AXIS_TLAST,i_system_wrapper/system_i/axis_raw_unpack_0_M_AXIS_TREADY,i_system_wrapper/system_i/axis_raw_unpack_0_M_AXIS_TUSER,i_system_wrapper/system_i/axis_raw_unpack_0_M_AXIS_TVALID,i_system_wrapper/system_i/csi2_d_phy_rx_0/U0/bits_gen[0].line_if_inst/data_s,i_system_wrapper/system_i/csi2_d_phy_rx_0/U0/bits_gen[2].line_if_inst/data_s,i_system_wrapper/system_i/csi2_d_phy_rx_0/U0/bits_gen[3].line_if_inst/data_s,i_system_wrapper/system_i/csi2_d_phy_rx_0/U0/bits_gen[1].line_if_inst/data_s,u_ila_1_sys_cpu_resetn,i_system_wrapper/system_i/axis_raw_unpack_0/U0/transfer_valid_reg_n_0
0,0,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
1,1,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
2,2,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
3,3,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
4,4,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
5,5,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
6,6,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
7,7,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
8,8,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
9,9,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
10,10,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
11,11,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
12,12,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
13,13,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
14,14,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
15,15,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
16,16,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
17,17,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
18,18,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
19,19,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,f,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
20,20,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
21,21,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
22,22,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
23,23,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
24,24,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
25,25,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
26,26,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,b,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
27,27,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,a,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
28,28,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,f,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
29,29,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,b,8,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
30,30,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
31,31,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
32,32,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
33,33,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
34,34,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
35,35,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
36,36,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
37,37,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
38,38,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
39,39,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
40,40,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
41,41,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
42,42,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
43,43,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
44,44,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
45,45,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
46,46,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
47,47,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
48,48,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
49,49,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
50,50,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
51,51,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
52,52,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
53,53,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
54,54,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
55,55,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
56,56,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
57,57,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
58,58,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
59,59,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
60,60,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
61,61,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
62,62,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
63,63,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
64,64,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
65,65,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
66,66,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
67,67,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
68,68,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
69,69,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
70,70,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1
71,71,0,258,0,0,0,00000000,1,1,0,0,0,0,0,374,01,0,0,0,0,1,0,0,2,0,0,749273,0,0,0,3a965d3e,0,00000000,00,0,0,0,177,0,0,0fa,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
