0,6,217,1,0,0,0,0,0,1,0,0,65535
1,8,82,1,0,0,0,0,0,1,0,0,65535
2,16,197,1,0,0,0,0,0,1,0,0,65535
3,96,130,1,0,0,0,0,0,1,0,0,65535
4,128,45,1,0,0,0,0,0,1,0,0,65535
5,0,81,1,0,0,0,0,0,1,0,0,65535
6,1,44,1,0,0,0,0,0,1,0,0,65535
7,4,216,1,0,0,0,0,0,1,0,0,65535
8,8,82,1,0,0,0,0,0,1,0,0,65535
9,16,193,1,0,0,0,0,0,1,0,0,65535
10,96,146,1,0,0,0,0,0,1,0,0,65535
11,128,45,1,0,0,0,0,0,1,0,0,65535
12,0,85,1,0,0,0,0,0,1,0,0,65535
13,1,44,1,0,0,0,0,0,1,0,0,65535
14,6,217,1,0,0,0,0,0,1,0,0,65535
15,8,82,1,0,0,0,0,0,1,0,0,65535
16,16,197,1,0,0,0,0,0,1,0,0,65535
17,96,178,1,0,0,0,0,0,1,0,0,65535
18,128,45,1,0,0,0,0,0,1,0,0,65535
19,0,85,1,0,0,0,0,0,1,0,0,65535
20,1,44,1,0,0,0,0,0,1,0,0,65535
21,6,89,1,0,0,0,0,0,1,0,0,65535
22,8,18,1,0,0,0,0,0,1,0,0,65535
23,16,197,1,0,0,0,0,0,1,0,0,65535
24,32,146,1,0,0,0,0,0,1,0,0,65535
25,128,45,1,0,0,0,0,0,1,0,0,65535
26,0,85,1,0,0,0,0,0,1,0,0,65535
27,1,44,1,0,0,0,0,0,1,0,0,65535
28,6,217,1,0,0,0,0,0,1,0,0,65535
29,8,82,1,0,0,0,0,0,1,0,0,65535
30,16,193,1,0,0,0,0,0,1,0,0,65535
31,96,130,1,0,0,0,0,0,1,0,0,65535
32,128,45,1,0,0,0,0,0,1,0,0,65535
33,0,85,1,0,0,0,0,0,1,0,0,65535
34,1,44,1,0,0,0,0,0,1,0,0,65535
35,6,217,1,0,0,0,0,0,1,0,0,65535
36,8,82,1,0,0,0,0,0,1,0,0,65535
37,16,193,1,0,0,0,0,0,1,0,0,65535
38,96,146,1,0,0,0,0,0,1,0,0,65535
39,128,45,1,0,0,0,0,0,1,0,0,65535
40,0,85,1,0,0,0,0,0,1,0,0,65535
41,1,44,1,0,0,0,0,0,1,0,0,65535
42,4,90,1,0,0,0,0,0,1,0,0,65535
43,8,82,1,0,0,0,0,0,1,0,0,65535
44,16,197,1,0,0,0,0,0,1,0,0,65535
45,64,146,1,0,0,0,0,0,1,0,0,65535
46,128,45,1,0,0,0,0,0,1,0,0,65535
47,0,85,1,0,0,0,0,0,1,0,0,65535
48,1,44,1,0,0,0,0,0,1,0,0,65535
49,4,88,1,0,0,0,0,0,1,0,0,65535
50,8,82,1,0,0,0,0,0,1,0,0,65535
51,16,197,1,0,0,0,0,0,1,0,0,65535
52,96,130,1,0,0,0,0,0,1,0,0,65535
53,128,45,1,0,0,0,0,0,1,0,0,65535
54,0,85,1,0,0,0,0,0,1,0,0,65535
55,1,44,1,0,0,0,0,0,1,0,0,65535
56,6,216,1,0,0,0,0,0,1,0,0,65535
