Sample in Buffer,Sample in Window,TRIGGER,u_ila_1_transfer_cnt_1[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/transfer_cnt[2:2],u_ila_1_transfer_cnt[15:3],i_system_wrapper/system_i/csi_to_axis_0_m_axis_tdata[31:0],i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TDATA[31:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXDATAHS[7:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXDATAHS[7:0],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXDATAHS[7:0],u_ila_1_axis_data_fifo_0_axis_data_count_1[11:0],u_ila_1_axis_data_fifo_0_axis_data_count_2[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_3[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_4[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_5[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_6[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_7[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_8[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_9[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_10[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_11[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_12[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_13[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_14[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_15[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_16[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_17[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_18[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_19[11:11],u_ila_1_axis_data_fifo_0_axis_data_count_20[11:11],u_ila_1_axis_data_fifo_0_axis_data_count[11:11],i_system_wrapper/system_i/csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXDATAHS[7:0],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_size_1[0:0],u_ila_1_packet_size[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_size[15:2],i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TLAST,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TREADY,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TUSER,i_system_wrapper/system_i/axis_data_fifo_0_M_AXIS_TVALID,u_ila_1_axis_data_fifo_0_s_axis_tready,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_RXCLKACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_STOPSTATE,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_2,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL0_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_3,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL1_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE_4,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL2_RXACTIVEHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_CL_ENABLE,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXACTIVEHS_1,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXSYNCHS,u_ila_1_csi2_d_phy_rx_0_RX_MIPI_PPI_DL3_RXACTIVEHS,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tlast,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tuser,i_system_wrapper/system_i/csi_to_axis_0_m_axis_tvalid,i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__1[0:0],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__2[1:1],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__3[2:2],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__4[3:3],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__5[4:4],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__6[5:5],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0__7[6:6],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/packet_id_reg_n_0_[7:7],i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/start_of_frame,i_system_wrapper/system_i/csi_to_axis_0/U0/parser_inst/start_of_line
17,17,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
18,18,0,0,1,0091,ffdfffff,0504bd06,240,0,128,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
19,19,0,0,1,0091,ffdfffff,0504bd06,225,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
20,20,0,0,1,0091,ffdfffff,0504bd06,207,0,170,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
21,21,0,0,1,0091,ffdfffff,0504bd06,239,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
22,22,0,0,1,0091,ffdfffff,0504bd06,15,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
23,23,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
24,24,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
25,25,0,0,1,0091,ffdfffff,0504bd06,240,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
26,26,0,0,1,0091,ffdfffff,0504bd06,225,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
27,27,0,0,1,0091,ffdfffff,0504bd06,207,0,170,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
28,28,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
29,29,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
30,30,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
31,31,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
32,32,0,0,1,0091,ffdfffff,0504bd06,248,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
33,33,0,0,1,0091,ffdfffff,0504bd06,225,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
34,34,0,0,1,0091,ffdfffff,0504bd06,207,0,170,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
35,35,0,0,1,0091,ffdfffff,0504bd06,79,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
36,36,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
37,37,0,0,1,0091,ffdfffff,0504bd06,254,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
38,38,0,0,1,0091,ffdfffff,0504bd06,252,0,138,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
39,39,0,0,1,0091,ffdfffff,0504bd06,254,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
40,40,0,0,1,0091,ffdfffff,0504bd06,225,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
41,41,0,0,1,0091,ffdfffff,0504bd06,207,0,170,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
42,42,0,0,1,0091,ffdfffff,0504bd06,15,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
43,43,0,0,1,0091,ffdfffff,0504bd06,31,0,136,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
44,44,0,0,1,0091,ffdfffff,0504bd06,30,0,168,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
45,45,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
46,46,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
47,47,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
48,48,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
49,49,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
50,50,1,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0
51,51,0,0,1,0091,ffdfffff,0504bd06,0,0,0,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0124,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
52,52,0,0,1,0091,ffdfffff,0504bd06,0,0,128,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0124,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
