DL3_RXDATAHS[7:0],DL2_RXDATAHS[7:0],DL0_RXDATAHS[7:0],DL1_RXDATAHS[7:0],DL0_RXSYNCHS,DL0_RXACTIVE,DL1_RXSYNCHS,DL1_RXACTIVEHS,DL2_RXSYNCH,DL2_RXACTIVEHS,DL3_RXSYNCHS,DL3_RXACTIVEHS,DL3_RXACTIVEHS
0,7,4,1,0,1,0,1,0,1,0,1,1
72,4,4,1,0,1,0,1,0,1,0,1,1
48,5,4,1,0,1,0,1,0,1,0,1,1
64,3,12,1,0,1,0,1,0,1,0,1,1
64,4,4,7,0,1,0,1,0,1,0,1,1
240,134,4,1,0,1,0,1,0,1,0,1,1
65,4,3,1,0,1,0,1,0,1,0,1,1
80,4,4,193,0,1,0,1,0,1,0,1,1
64,3,173,128,0,1,0,1,0,1,0,1,1
48,4,4,30,0,1,0,1,0,1,0,1,1
80,120,3,1,0,1,0,1,0,1,0,1,1
56,4,4,1,0,1,0,1,0,1,0,1,1
64,4,4,1,0,1,0,1,0,1,0,1,1
64,4,163,1,0,1,0,1,0,1,0,1,1
48,3,4,209,0,1,0,1,0,1,0,1,1
80,123,3,0,0,1,0,1,0,1,0,1,1
66,4,4,1,0,1,0,1,0,1,0,1,1
64,5,3,1,0,1,0,1,0,1,0,1,1
64,4,87,1,0,1,0,1,0,1,0,1,1
80,3,4,200,0,1,0,1,0,1,0,1,1
80,243,4,64,0,1,0,1,0,1,0,1,1
61,3,4,193,0,1,0,1,0,1,0,1,1
64,4,5,0,0,1,0,1,0,1,0,1,1
48,4,107,1,0,1,0,1,0,1,0,1,1
64,4,4,17,0,1,0,1,0,1,0,1,1
80,79,5,193,0,1,0,1,0,1,0,1,1
66,4,4,192,0,1,0,1,0,1,0,1,1
64,4,4,192,0,1,0,1,0,1,0,1,1
64,4,115,64,0,1,0,1,0,1,0,1,1
64,4,4,22,0,1,0,1,0,1,0,1,1
144,144,3,65,0,1,0,1,0,1,0,1,1
76,3,3,1,0,1,0,1,0,1,0,1,1
64,2,4,1,0,1,0,1,0,1,0,1,1
48,3,48,129,0,1,0,1,0,1,0,1,1
64,3,3,55,0,1,0,1,0,1,0,1,1
80,106,3,1,0,1,0,1,0,1,0,1,1
68,5,4,1,0,1,0,1,0,1,0,1,1
64,4,4,1,0,1,0,1,0,1,0,1,1
64,4,51,129,0,1,0,1,0,1,0,1,1
64,4,4,93,0,1,0,1,0,1,0,1,1
192,49,4,1,0,1,0,1,0,1,0,1,1
68,4,3,1,0,1,0,1,0,1,0,1,1
80,4,4,1,0,1,0,1,0,1,0,1,1
64,4,68,1,0,1,0,1,0,1,0,1,1
64,3,4,50,0,1,0,1,0,1,0,1,1
32,91,4,1,0,1,0,1,0,1,0,1,1
59,4,4,1,0,1,0,1,0,1,0,1,1
64,3,4,1,0,1,0,1,0,1,0,1,1
64,4,180,1,0,1,0,1,0,1,0,1,1
64,5,4,210,0,1,0,1,0,1,0,1,1
176,66,4,0,0,1,0,1,0,1,0,1,1
75,4,4,1,0,1,0,1,0,1,0,1,1
64,3,3,1,0,1,0,1,0,1,0,1,1
64,4,35,193,0,1,0,1,0,1,0,1,1
64,4,4,2,0,1,0,1,0,1,0,1,1
240,11,5,193,0,1,0,1,0,1,0,1,1
79,2,3,192,0,1,0,1,0,1,0,1,1
48,4,4,0,0,1,0,1,0,1,0,1,1
48,4,29,129,0,1,0,1,0,1,0,1,1
64,4,4,222,0,1,0,1,0,1,0,1,1
0,253,4,0,0,1,0,1,0,1,0,1,1
77,3,4,1,0,1,0,1,0,1,0,1,1
64,4,5,1,0,1,0,1,0,1,0,1,1
64,4,80,1,0,1,0,1,0,1,0,1,1
48,4,3,246,0,1,0,1,0,1,0,1,1
240,168,4,0,0,1,0,1,0,1,0,1,1
60,3,3,1,0,1,0,1,0,1,0,1,1
48,4,4,1,0,1,0,1,0,1,0,1,1
48,4,228,65,0,1,0,1,0,1,0,1,1
48,5,3,252,0,1,0,1,0,1,0,1,1
224,140,4,64,0,1,0,1,0,1,0,1,1
61,3,3,1,0,1,0,1,0,1,0,1,1
64,4,5,1,0,1,0,1,0,1,0,1,1
64,4,133,65,0,1,0,1,0,1,0,1,1
48,4,4,247,0,1,0,1,0,1,0,1,1
32,201,5,0,0,1,0,1,0,1,0,1,1
48,4,4,1,0,1,0,1,0,1,0,1,1
48,4,4,1,0,1,0,1,0,1,0,1,1
64,3,247,1,0,1,0,1,0,1,0,1,1
64,4,4,27,0,1,0,1,0,1,0,1,1
48,201,4,65,0,1,0,1,0,1,0,1,1
76,3,4,193,0,1,0,1,0,1,0,1,1
64,4,4,0,0,1,0,1,0,1,0,1,1
64,4,122,129,0,1,0,1,0,1,0,1,1
64,4,3,253,0,1,0,1,0,1,0,1,1
112,240,4,0,0,1,0,1,0,1,0,1,1
79,3,4,1,0,1,0,1,0,1,0,1,1
64,4,4,1,0,1,0,1,0,1,0,1,1
64,4,69,1,0,1,0,1,0,1,0,1,1
64,4,5,0,0,1,0,1,0,1,0,1,1
0,133,5,1,0,1,0,1,0,1,0,1,1
65,4,4,1,0,1,0,1,0,1,0,1,1
64,4,4,1,0,1,0,1,0,1,0,1,1
64,4,50,65,0,1,0,1,0,1,0,1,1
64,4,5,238,0,1,0,1,0,1,0,1,1
48,224,3,64,0,1,0,1,0,1,0,1,1
52,4,4,1,0,1,0,1,0,1,0,1,1
64,4,4,193,0,1,0,1,0,1,0,1,1
64,4,212,64,0,1,0,1,0,1,0,1,1
64,3,3,48,0,1,0,1,0,1,0,1,1
80,129,3,1,0,1,0,1,0,1,0,1,1
65,4,4,1,0,1,0,1,0,1,0,1,1
64,3,3,65,0,1,0,1,0,1,0,1,1
64,4,210,1,0,1,0,1,0,1,0,1,1
64,3,3,57,0,1,0,1,0,1,0,1,1
96,0,6,65,0,1,0,1,0,1,0,1,1
78,3,3,193,0,1,0,1,0,1,0,1,1
64,4,3,0,0,1,0,1,0,1,0,1,1
48,4,46,1,0,1,0,1,0,1,0,1,1
64,4,4,214,0,1,0,1,0,1,0,1,1
112,254,4,0,0,1,0,1,0,1,0,1,1
76,3,4,1,0,1,0,1,0,1,0,1,1
48,4,3,1,0,1,0,1,0,1,0,1,1
48,4,244,193,0,1,0,1,0,1,0,1,1
64,4,4,214,0,1,0,1,0,1,0,1,1
0,255,3,0,0,1,0,1,0,1,0,1,1
79,4,4,1,0,1,0,1,0,1,0,1,1
48,3,4,193,0,1,0,1,0,1,0,1,1
48,4,228,192,0,1,0,1,0,1,0,1,1
64,5,4,14,0,1,0,1,0,1,0,1,1
96,31,4,1,0,1,0,1,0,1,0,1,1
73,4,4,193,0,1,0,1,0,1,0,1,1
64,4,5,0,0,1,0,1,0,1,0,1,1
64,3,189,193,0,1,0,1,0,1,0,1,1
64,3,3,243,0,1,0,1,0,1,0,1,1
224,247,5,0,0,1,0,1,0,1,0,1,1
71,4,3,1,0,1,0,1,0,1,0,1,1
48,3,3,1,0,1,0,1,0,1,0,1,1
64,4,33,1,0,1,0,1,0,1,0,1,1
48,4,4,196,0,1,0,1,0,1,0,1,1
176,195,3,0,0,1,0,1,0,1,0,1,1
66,4,3,1,0,1,0,1,0,1,0,1,1
64,4,5,1,0,1,0,1,0,1,0,1,1
64,4,48,129,0,1,0,1,0,1,0,1,1
48,4,4,125,0,1,0,1,0,1,0,1,1
48,9,4,1,0,1,0,1,0,1,0,1,1
73,4,4,193,0,1,0,1,0,1,0,1,1
